id;text1;text2;source;tags
N.1.1.3;How much force does a biceps exert at a 10 kg weight?;1050N;;gym
N.1.2.2;What is the deceleration of an elevator stopping from 25m?;2m/s;;office
N.1.2.3;What is the for acting on carton (0.5kg) on top of a plate (1kg) pushed with 9N;3N;;food
N.1.3.2;How much force is needed to pull a 50kg block at 30 degrees (friction coeff 0.4);188N;University Physics;outside
N.4.1;How many drivers in the US are texting right now?;500,000;Comfort,2020,p. 35;travel traffic
N.4.2;How fast does a car has to go to match the KE of a truck?;;;traffic
N.8.1;How much energy does Europe or the US need per year?;7.5^11W;Weinstein,2008,p. 219;energy
N.8.1.1;What fraction of the US is needed to power it only with solar panels?;4x10^-3;Weinstein,2008,p. 225;energy area environment
N.8.1.2;How much electrical power can a wind turbine generate?;3 MW;Weinstein,2008,p. 229;energy wind environment
N.8.2;Carbon dioxide released by 1-GW coal-fired power plant?;2x10^10kg;Weinstein,2008,p. 254;air,environment
N.8.3;How much fuel does a 1 GW nuclear power plant require in one year?;2x10^4 kg;Weinstein,2008,p. 237; energy environment
N.A.1;How tall is a stack of a trillion one-dollar bills?;10^5 km;Weinstein,2012,p. 17;distance money
N.A.2;How many kernels of popcorn are needed to fill a bedroom?;10^7;Weinstein,2012,p. 21;area inside
N.B.1;What is the mass of the atmosphere?;4x10^18kg;Weinstein,2008,p. 245;air
N.B.2;Carbon dioxide in kg of all US cars emitted per year?;9x10^11kg/year;Weinstein,2008,p. 261;air,environment
N.B.4;How much carbon dioxide in kg does 1-km^2 new forest absorb per year?;6x10^7 kg;Weinstein,2008,p. 265;air,environment
N.C.1;How much does each cigarette smoked shorten life expectancy?;6 min;Weinstein,2008,p. 281;health
N.D.1;What is the price of a 36 Euro item without VAT;30 Euro;;money
N.E.1;How long does it take to double 8000 euro at 10 percent interest rate;7.2 years;;money
2;How many breaths does a human take in a lifetime?;3x10^8;Comfort,2020,p. 41;health
3;How many heartbeats does a human heart take in a lifetime?;3x10^9;Comfort,2020,p. 43;health
4;How many hours of sleep in a lifetime?;225,000;Comfort,2020,p. 43;health
6;What is the surface area of a human being?;2 m^2;Comfort,2020,p. 51;health
7;What is the volume of a human being?;8x10^-2 m^3;Comfort,2020,p. 53;health
8;How many cells are in a human body?;8x10^13;Comfort,2020,p. 55;health
9;How much energy does a human use to climb up one floor on stairs?;74 kJ;Comfort,2020,p. 58;energy staircase
10;What is the metabolic rate of a human being?;150W;Comfort,2020,p. 61;energy health
12;How much memory storage does a book require?;400 kbytes;Comfort,2020,p. 67;library pc
14;What is the speed of reading?;170 words/min;Comfort,2020,p. 74;library
16;What is the probability to get struck by a lightning?;3x10^-6;Comfort,2020,p. 81;outside
17;How many doctors are there in the US?;10^5;Comfort,2020,p. 85;health
18;How many patients can a doctor see per year?;8000;Comfort,2020,p. 88;health
19;How long is the average wait at the doctor's office?;45 mins;Comfort,2020,p. 90;health waiting
